optimizer_name,dataset_name,model_name,seed,num_parameters,num_epochs,train_loss_ep1,train_loss_ep2,train_loss_ep3,train_loss_ep4,train_loss_ep5,train_loss_ep6,train_loss_ep7,train_loss_ep8,train_loss_ep9,train_loss_ep10,train_acc_ep1,train_acc_ep2,train_acc_ep3,train_acc_ep4,train_acc_ep5,train_acc_ep6,train_acc_ep7,train_acc_ep8,train_acc_ep9,train_acc_ep10,test_loss,test_accuracy,sparsity_before_pruning,test_acc_after_pruning_50%,test_acc_after_pruning_20%,test_acc_after_pruning_10%,execution_time
Adam,FashionMNIST,MLP,46,235146,10,0.47905,0.34570,0.30769,0.28435,0.26663,0.25089,0.23713,0.22229,0.21237,0.20399,0.82775,0.87162,0.88595,0.89408,0.90000,0.90495,0.91123,0.91683,0.91955,0.92255,0.33505,0.88620,0.00000,0.88520,0.81960,0.59900,18.55068
PrunAdag_v1,FashionMNIST,MLP,46,235146,10,0.24120,0.31693,0.34849,0.35357,0.35148,0.34675,0.34135,0.33650,0.33300,0.32893,0.91512,0.89377,0.88463,0.88110,0.88202,0.88230,0.88398,0.88487,0.88498,0.88698,0.37787,0.86820,0.02829,0.86810,0.86830,0.87050,59.95485
Adam,FashionMNIST,CNN,46,421642,10,0.44691,0.28108,0.23534,0.20881,0.18191,0.16195,0.14353,0.12679,0.11274,0.09583,0.84000,0.89848,0.91403,0.92347,0.93333,0.94088,0.94700,0.95325,0.95787,0.96535,0.24328,0.92300,0.00000,0.92310,0.90350,0.82940,111.97254
PrunAdag_v1,FashionMNIST,CNN,46,421642,10,0.16355,0.28490,0.30913,0.30706,0.30103,0.29544,0.28992,0.28647,0.28307,0.27872,0.94603,0.90592,0.89813,0.89840,0.89777,0.89930,0.90182,0.90223,0.90235,0.90408,0.30460,0.89090,0.09076,0.89060,0.88940,0.88940,174.87152
Adam,MNIST,MLP,47,235146,10,0.26838,0.10473,0.07024,0.05361,0.03967,0.03168,0.02683,0.02284,0.02067,0.01989,0.92073,0.96732,0.97800,0.98290,0.98722,0.98952,0.99088,0.99237,0.99308,0.99292,0.08855,0.97790,0.00000,0.97960,0.96780,0.91970,18.59345
PrunAdag_v1,MNIST,MLP,47,235146,10,0.00877,0.00481,0.00527,0.00830,0.01621,0.03253,0.05043,0.06081,0.06480,0.06521,0.99772,0.99942,0.99958,0.99928,0.99832,0.99440,0.99023,0.98685,0.98553,0.98503,0.07799,0.97840,0.00633,0.97840,0.97910,0.97770,58.83956
Adam,MNIST,CNN,47,421642,10,0.16075,0.04633,0.03319,0.02266,0.01907,0.01425,0.01173,0.01027,0.00731,0.00890,0.95198,0.98545,0.98970,0.99278,0.99367,0.99537,0.99600,0.99630,0.99755,0.99708,0.03042,0.99190,0.00000,0.99140,0.99040,0.98220,113.26683
PrunAdag_v1,MNIST,CNN,47,421642,10,0.00430,0.00290,0.00380,0.00715,0.01462,0.02295,0.02830,0.03114,0.03324,0.03435,0.99883,0.99948,0.99943,0.99882,0.99727,0.99515,0.99372,0.99282,0.99240,0.99175,0.04102,0.98850,0.00626,0.98910,0.98900,0.98640,178.65678
Adam,FashionMNIST,MLP,47,235146,10,0.48143,0.34330,0.30891,0.28469,0.26730,0.24943,0.23866,0.22670,0.21247,0.20090,0.82555,0.87263,0.88415,0.89340,0.89978,0.90625,0.90938,0.91490,0.91983,0.92387,0.35980,0.88070,0.00000,0.88160,0.78170,0.62980,19.12367
PrunAdag_v1,FashionMNIST,MLP,47,235146,10,0.23625,0.30799,0.34300,0.35242,0.35389,0.35123,0.34701,0.34344,0.33979,0.33648,0.91803,0.89837,0.88805,0.88358,0.88252,0.88355,0.88382,0.88405,0.88525,0.88552,0.39377,0.86240,0.03066,0.86240,0.86440,0.86560,60.67292
Adam,FashionMNIST,CNN,47,421642,10,0.44796,0.29023,0.24299,0.21492,0.19063,0.17113,0.14906,0.13329,0.11798,0.10145,0.83973,0.89535,0.91090,0.92060,0.92967,0.93660,0.94535,0.95127,0.95682,0.96308,0.25587,0.92010,0.00000,0.91970,0.89250,0.80840,112.36212
PrunAdag_v1,FashionMNIST,CNN,47,421642,10,0.16919,0.27499,0.29941,0.29875,0.29475,0.29072,0.28858,0.28403,0.27996,0.27820,0.94315,0.90727,0.89835,0.89988,0.89968,0.90058,0.90280,0.90367,0.90432,0.90485,0.30578,0.89100,0.07467,0.89120,0.89300,0.89270,176.88993
